Name of Beach,Hotel charges,Short Intro,Top sights,Top sights,Top sights,Top sights,Top sights,Top sights,
Betabatim,3838,"Beaches,casinos,lighthouses and shopping",Colva Beach,Betalbatim Beach,Sunset Beach,Lovers Beach,Our Lady Of Remedios Church,,
Bardez,3776,Beaches,Aguada Fort,Calangute Beach,Chapora Fort,Vagator Beach Road,Baga Beach,Sinquerim Beach,
Vasco da gama,2786,"City in Goa, western India, with sandy beaches, 17th-century Mormugao Fort & St. Andrew’s Church.",Baina Beach,Mormugao Fort,Mormugao Harbour,St. Andrew's Church,Japanese Garden,Pilot Point - Mormugao Port Trust,
Mobor Beach,3801,"Beaches,parasailing ,rivers and sports",Cavelossim Beach,Betul Beach,Mobor Beach,Sal River,,,
Bambolim,6770,"Beaches,sailing ,casions and watersports",Bambolim Beach,Casino Strike,Holy Cross Shrine Bambolim,Lord Shankar Temple,Dona Paula View Point,São Jacinto Island,
chapora,2692,Quiet area with sunset views from a ruined Portuguese fort & simple dining on Chapora Beach.,Vagator Beach Road,Shree Siddheshwar Temple,Aguada Fort,Anjuna Beach,Calangute Beach,Chapora Fort,
Arossim,3144,beaches,Arossim Beach,Cansaulim Beach,St Lawrence Chapel,Arossim Beach,São Jacinto Island,,
Mapusa,2106,"Markets,casinos,beaches and shopping",Shri Dev Bodgeshwar Sansthan,St. Jerome Church,Datta temple,Shree Dev Ghatyeshwar Mandir,,,
Utorda,6728,Beaches,Majorda Beach,Utorda Beach,,,,,
Arpora,7855,"Peaceful area with relaxed accommodation & a buzzing, seasonal Saturday Night Market.",Clive's Saturday Night Market,Goa Karting,Miraculous Cross,Aguada Fort,Basilica of Bom Jesus,Calangute Beach,
Cansaulim,3144,"Beaches,chapels and churches",Arossim Beach,Cansaulim Beach,Utorda Beach,Goa Beach Private Property and Picnic spot,St Lawrence Chapel,Arossim Beach,
Querim,8123,beaches,Querim Beach,Shiroda Beach,Shri AJOBA TEMPLE,Ajoba Temple Keri,Redi Beach,Paradise Beach,
Cola,3926,Beaches,Cabo de Rama Fort,Agonda Beach,Kakolem Beach,Cola Beach Lagoon,Cabo de Rama Beach,Canacona Island,
Mormugao,2440,"Harbors , beaches and museums",Baina Beach,Indian Naval Aviation Museum,Mormugao Fort,Hansa Beach,Bogmalo Beach,Japanese Garden,
Salcete,3683,"Beaches,casionos,and museums",Colva Beach,Benaulim Beach,Colva Beach Road,Cavelossim Beach,Majorda Beach,Varca Beach,
Dabolim,2368,Beaches,São Jacinto Island,ULTA PULTA MUSEUM GOA,Dona Paula View Point,Pequeno,Mormugao Port Lighthouse,,
Velsao,3243,Beaches and chapels,São Jacinto Island,,,,,,
Pernem,3950,yoga and beaches,Ashvem Beach,Querim Beach,Arambol Sweet Water Lake,Harmal Beach,Kalacha Beach,Mandrem Beach,
Sernabatim,4903,beaches,Colva Beach Road,Sernabatim Beach,Mahalaxmi Temple,,,,
Caranzalem,4981,beaches,Caranzalem Children's park,Aguada Fort,Anjuna Beach,Basilica of Bom Jesus,Calangute Beach,Chapora Fort,
Siridao,7409,Beaches and chapels,São Jacinto Island,Siridao Beach,CHAPEL OF JESUS OF NAZARETH,Dona Paula View Point,Mandovi River,,
Siolim,5471,"chruches ,rivers and beaches",St Anthony Church,Our Lady of the Sea Church,,,,,
Betul,3801,beaches and rivers,Palolem Beach,Colva Beach,Agonda Beach,Cavelossim Beach,Cabo de Rama Fort,Benaulim Beach,
Paliyem,2211,lakes and beaches,Arambol Sweet Water Lake,Kalacha Beach,Shiroda Beach,Redi Beach,Paradise Beach,,
Reis Magos,5158,"churches, beaches and history",Reis Magos Fort,Quegdevelim Beach,Reis Magos Church,Dona Paula View Point,Mandovi River,,
Canaguinum,5236,beaches,"Cabo de Rama Fort
",Cabo de Rama Beach,Canaguinim Beach,Nuem Beach,Sal River,,
